iter	Passed	Remaining
0	287	28509
1	311	15277
2	325	10518
3	335	8042
4	338	6428
5	340	5341
6	343	4560
7	350	4029
8	354	3585
9	364	3281
10	371	3008
11	376	2760
12	381	2553
13	402	2471
14	412	2337
15	416	2188
16	421	2058
17	433	1974
18	439	1873
19	448	1795
20	452	1702
21	458	1626
22	462	1548
23	466	1478
24	470	1411
25	478	1363
26	484	1310
27	498	1283
28	505	1237
29	508	1186
30	511	1138
31	518	1102
32	520	1057
33	525	1019
34	530	986
35	537	956
36	542	924
37	546	891
38	552	864
39	565	848
40	568	818
41	574	793
42	589	781
43	596	759
44	600	733
45	603	708
46	614	692
47	618	669
48	628	654
49	632	632
50	642	617
51	648	598
52	658	583
53	666	567
54	672	550
55	679	534
56	683	515
57	688	498
58	699	486
59	716	477
60	719	460
61	726	445
62	729	428
63	731	411
64	737	397
65	740	381
66	748	368
67	752	353
68	754	339
69	757	324
70	761	310
71	764	297
72	767	283
73	772	271
74	777	259
75	780	246
76	784	234
77	788	222
78	790	210
79	794	198
80	804	188
81	807	177
82	815	167
83	818	155
84	823	145
85	840	136
86	846	126
87	848	115
88	853	105
89	861	95
90	870	86
91	874	76
92	881	66
93	908	58
94	916	48
95	925	38
96	931	28
97	952	19
98	968	9
99	971	0
