product_type,variant,sku,product_price,actual_drop_date,drop_month,print,season,drop_time_holiday,print_gender,product_gender,main_color,designcat,designelement,returning_cohort,first_time_cohort,returning_sales,first_time_sales,rc_total,ft_total,rc_sales_total,ft_sales_total,order_quantity,confidence_score,sold_amount_14,sold_amount_30,sold_amount_45,sold_amount_60,sold_amount_75,sold_amount_90,sellout_flg,marketing_spend_drop,marketing_flag,convertible_romper_in_drop,pajama_set_in_drop,romper_in_drop,footie_in_drop,prints_in_drop,corrected_order_amt,total_sales_drop,proportion,order_proportion
Romper,9 - 12 Months,11809,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,864,1273,1647.0,1854.0,12844,20051,113266.0,68191.0,125,B,42.0,63.0,77.0,81.0,115.0,125.0,0,112.9428888888889,1,0,0,1,1,2,125,2791.0,0.04478681476173414,0.04401408450704225
Pajama Set,5/6Y,11822,39.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,830,510,1522.0,641.0,12844,20051,113266.0,68191.0,85,B,36.0,49.0,52.0,53.0,72.0,81.0,0,112.9428888888889,1,0,1,0,0,2,85,2791.0,0.029021855965603725,0.02992957746478873
Footie,2T,11805,36.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1970,796,4967.0,1108.0,12844,20051,113266.0,68191.0,50,B,25.0,46.0,51.0,51.0,52.0,52.0,0,112.9428888888889,1,0,1,1,1,2,50,2791.0,0.018631314940881404,0.017605633802816902
Pajama Set,2T,11819,39.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1970,796,4967.0,1108.0,12844,20051,113266.0,68191.0,105,B,47.0,58.0,64.0,67.0,97.0,107.0,0,112.9428888888889,1,0,1,1,1,2,105,2791.0,0.038337513436044426,0.03697183098591549
Pajama Set,7/8Y,11823,39.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,515,368,1015.0,463.0,12844,20051,113266.0,68191.0,60,B,10.0,15.0,18.0,21.0,32.0,37.0,0,112.9428888888889,1,0,1,0,0,2,60,2791.0,0.013256897169473307,0.02112676056338028
Toddler Dress,3T,11826,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Girl,Orange,Butterflies,Animals,1198,418,2476.0,508.0,12844,20051,113266.0,68191.0,20,B,19.0,19.0,19.0,19.0,20.0,20.0,1,112.9428888888889,1,0,1,0,0,2,40,2791.0,0.007165890361877463,0.007042253521126761
Romper,0 - 3 Months,11806,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,502,1165,785.0,1606.0,12844,20051,113266.0,68191.0,45,B,21.0,36.0,41.0,45.0,48.0,47.0,0,112.9428888888889,1,0,0,1,1,2,45,2791.0,0.01683984235041204,0.01584507042253521
Jogger Set,12 - 18 Months,11832,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,1494,1412,3358.0,2081.0,12844,20051,113266.0,68191.0,30,B,27.0,27.0,27.0,27.0,29.0,29.0,0,112.9428888888889,1,0,0,1,1,2,30,2791.0,0.010390541024722321,0.01056338028169014
Footie,18 - 24 Months,11804,36.0,2023-09-06,9,Change is BeautiFALL,Winter,Regular,Girl,Neutral,Orange,Butterflies,Animals,1521,943,3465.0,1345.0,12844,20051,113266.0,68191.0,95,B,32.0,56.0,66.0,75.0,94.0,93.0,0,112.9428888888889,1,0,0,1,1,2,95,2791.0,0.033321390182730205,0.03345070422535211
Jogger Set,6 - 12 Months,11831,52.0,2023-09-06,9,Change is BeautiFALL,Fall,Regular,Girl,Neutral,Orange,Butterflies,Animals,594,303,916.0,329.0,12844,20051,113266.0,68191.0,25,B,12.0,18.0,18.0,20.0,26.0,26.0,0,112.9428888888889,1,0,0,0,0,2,25,2791.0,0.009315657470440702,0.008802816901408451
